Top important feature interactions:
1. Synergistaceae ↔ Calditrichaceae: 0.436
2. SAR324_clade(Marine_group_B) ↔ Syntrophobacteraceae: 0.436
3. UnclassifiedFamily ↔ Calditrichaceae: 0.435
4. UnclassifiedFamily ↔ Rikenellaceae: 0.434
5. Bacteroidetes_vadinHA17 ↔ Geobacteraceae: 0.433
6. Christensenellaceae ↔ SBR1031: 0.433
7. Smithellaceae ↔ Kosmotogaceae: 0.432
8. Aminicenantales ↔ Christensenellaceae: 0.432
9. Methanobacteriaceae ↔ Geobacteraceae: 0.432
10. Cloacimonadaceae ↔ Anaerolineaceae: 0.432
