,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.32681653,0.0,0.39859417,0.0,0.0,0.0,0.40836748,0.0,0.34371218,0.3700716,0.0,0.3206122,0.3981807,0.0,0.0,0.37418032,0.3886349,0.0,0.0,0.40626892,0.0,0.3403757,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.33932638,0.34437656,0.37201038,0.0,0.0,0.0,0.0,0.0,0.0,0.3411974,0.0,0.0,0.0,0.0,0.34253302,0.30465287,0.0,0.3982843,0.30404213,0.0,0.0,0.0,0.0,0.35328004,0.37831122
uncultured,0.0,0.33932638,0.0,0.32469505,0.0,0.0,0.0,0.33334935,0.0,0.26183304,0.0,0.0,0.0,0.0,0.0,0.0,0.40243524,0.41023487,0.35913822,0.0,0.2812383,0.28513446,0.0,0.0,0.29000223,0.24277411,0.0
UnclassifiedFamily,0.32681653,0.34437656,0.32469505,0.0,0.33685267,0.37148222,0.36965573,0.0,0.0,0.2846345,0.0,0.0,0.0,0.23876831,0.3785072,0.0,0.0,0.38090742,0.0,0.0,0.33281764,0.0,0.0,0.3804652,0.0,0.36012232,0.0
Aminicenantales,0.0,0.37201038,0.0,0.33685267,0.0,0.33295307,0.38559547,0.0,0.0,0.0,0.0,0.0,0.0,0.38729963,0.0,0.0,0.3857504,0.36842525,0.0,0.0,0.3975119,0.2750934,0.0,0.0,0.0,0.0,0.37956774
Rikenellaceae,0.39859417,0.0,0.0,0.37148222,0.33295307,0.0,0.0,0.0,0.0,0.271169,0.0,0.0,0.4064666,0.0,0.30672073,0.0,0.0,0.2919949,0.25800586,0.0,0.3703694,0.0,0.3981035,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.36965573,0.38559547,0.0,0.0,0.0,0.0,0.30067688,0.0,0.0,0.0,0.35973915,0.0,0.32151803,0.27822545,0.0,0.30477956,0.0,0.34911886,0.0,0.0,0.39607453,0.0,0.0,0.33285406
JS1,0.0,0.0,0.33334935,0.0,0.0,0.0,0.0,0.0,0.39824808,0.39452457,0.36387402,0.3519793,0.29406136,0.0,0.0,0.34960896,0.3302751,0.0,0.2852819,0.36886796,0.0,0.38748655,0.36018324,0.0,0.3269845,0.0,0.36875108
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39824808,0.0,0.36015916,0.34308076,0.0,0.0,0.0,0.0,0.0,0.37737444,0.3856667,0.31338793,0.0,0.35547698,0.0,0.3456169,0.3829918,0.38567016,0.34078124,0.0
Cloacimonadaceae,0.40836748,0.0,0.26183304,0.2846345,0.0,0.271169,0.30067688,0.39452457,0.36015916,0.0,0.40326348,0.40617728,0.30411965,0.31977788,0.27081263,0.39342928,0.28846768,0.37186328,0.32496136,0.30568007,0.35958073,0.293069,0.0,0.369771,0.37445506,0.40758884,0.41033655
