,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.33510837,0.0,0.43729284,0.0,0.0,0.0,0.4470874,0.0,0.30269203,0.3679406,0.0,0.3713685,0.3639803,0.0,0.0,0.43675303,0.42967296,0.0,0.0,0.3773575,0.0,0.30795103,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.33077097,0.35998437,0.42196235,0.0,0.0,0.0,0.0,0.0,0.0,0.3378208,0.0,0.0,0.0,0.0,0.26971635,0.37970728,0.0,0.37736297,0.2969406,0.0,0.0,0.0,0.0,0.33244988,0.37223032
uncultured,0.0,0.33077097,0.0,0.39031073,0.0,0.0,0.0,0.4420008,0.0,0.38392755,0.0,0.0,0.0,0.0,0.0,0.0,0.4096212,0.3790368,0.38302922,0.0,0.45366815,0.44162777,0.0,0.0,0.3138676,0.45622882,0.0
UnclassifiedFamily,0.33510837,0.35998437,0.39031073,0.0,0.45102847,0.40073577,0.38545787,0.0,0.0,0.39930466,0.0,0.0,0.0,0.42922375,0.39207816,0.0,0.0,0.39750838,0.0,0.0,0.42697373,0.0,0.0,0.3522802,0.0,0.43624195,0.0
Aminicenantales,0.0,0.42196235,0.0,0.45102847,0.0,0.37525702,0.34668472,0.0,0.0,0.0,0.0,0.0,0.0,0.4298091,0.0,0.0,0.4490678,0.44604915,0.0,0.0,0.31086347,0.32837752,0.0,0.0,0.0,0.0,0.40193465
Rikenellaceae,0.43729284,0.0,0.0,0.40073577,0.37525702,0.0,0.0,0.0,0.0,0.38892645,0.0,0.0,0.40147892,0.0,0.44010022,0.0,0.0,0.43962207,0.4251858,0.0,0.3414809,0.0,0.42091623,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.38545787,0.34668472,0.0,0.0,0.0,0.0,0.45343184,0.0,0.0,0.0,0.39605814,0.0,0.27931264,0.4103207,0.0,0.44088006,0.0,0.2949906,0.0,0.0,0.41243878,0.0,0.0,0.3670186
JS1,0.0,0.0,0.4420008,0.0,0.0,0.0,0.0,0.0,0.2897081,0.34531716,0.3642173,0.45749548,0.40309042,0.0,0.0,0.42538193,0.38565388,0.0,0.3604351,0.3121467,0.0,0.44651437,0.45200247,0.0,0.45398316,0.0,0.29612258
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897081,0.0,0.33506462,0.42427528,0.0,0.0,0.0,0.0,0.0,0.4517296,0.3461244,0.31284457,0.0,0.44725373,0.0,0.42036754,0.39624956,0.43521422,0.4529889,0.0
Cloacimonadaceae,0.4470874,0.0,0.38392755,0.39930466,0.0,0.38892645,0.45343184,0.34531716,0.33506462,0.0,0.38417068,0.45062461,0.39282787,0.33264908,0.37484568,0.43747962,0.397229,0.4414233,0.3495321,0.4487288,0.39660177,0.3617524,0.0,0.35385805,0.33916163,0.37128133,0.4328654
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3642173,0.42427528,0.38417068,0.0,0.2748858,0.42101932,0.0,0.0,0.40679258,0.42615244,0.0,0.37438232,0.38167983,0.0,0.43523413,0.3727641,0.0,0.3481436,0.0,0.3447382
